tconst,ordering,nconst,category,job,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0056197,1,nm0000078,actor,\N,"[""Lt. Col. Benjamin Vandervoort""]",,
tt0056217,2,nm0000078,actor,\N,"[""Tom Doniphon""]",,
tt0057007,1,nm0000078,actor,\N,"[""Michael Patrick 'Guns' Donovan""]",,
tt0057298,1,nm0000078,actor,\N,"[""George Washington 'G.W.' McLintock""]",,
tt0057952,1,nm0000078,actor,\N,"[""Matt Masters""]",,
tt0059309,1,nm0000078,actor,\N,"[""Rock""]",,
tt0059740,1,nm0000078,actor,\N,"[""John Elder""]",,
tt0060218,2,nm0000078,actor,\N,"[""Gen. Mike Randolph""]",,
tt0061619,1,nm0000078,actor,\N,"[""Cole Thornton""]",,
tt0062472,1,nm0000078,actor,\N,"[""Taw Jackson""]",,
tt0063035,1,nm0000078,actor,\N,"[""Col. Mike Kirby""]",,
tt0063060,1,nm0000078,actor,\N,"[""Chance Buckman""]",,
tt0065126,1,nm0000078,actor,\N,"[""Rooster Cogburn""]",,
tt0065150,1,nm0000078,actor,\N,"[""Col. John Henry Thomas""]",,
tt0065541,1,nm0000078,actor,\N,"[""Narrator""]",,
tt0065547,1,nm0000078,actor,\N,"[""John Chisum""]",,
tt0066157,1,nm0000078,self,\N,"[""Self - Host""]",,
tt0066301,1,nm0000078,actor,\N,"[""Col. Cord McNally""]",,
tt0066759,2,nm0000078,self,\N,"[""Self - Narrator""]",,
tt0066831,1,nm0000078,actor,\N,"[""Jacob McCandles""]",,
tt0068421,1,nm0000078,actor,\N,"[""Wil Andersen""]",,
tt0069834,1,nm0000078,actor,\N,"[""J. D. Cahill""]",,
tt0070825,1,nm0000078,actor,\N,"[""Lane""]",,
tt0071824,1,nm0000078,actor,\N,"[""McQ""]",,
tt0072732,1,nm0000078,actor,\N,"[""Lt. Brannigan""]",,
tt0073636,1,nm0000078,actor,\N,"[""Rooster Cogburn""]",,
tt0075213,1,nm0000078,actor,\N,"[""J.B. Books""]",,
tt0174059,1,nm0000078,actor,\N,"[""Narrator""]",,
tt0174154,2,nm0000078,self,\N,"[""Self""]",,
tt0178555,1,nm0000078,actor,\N,"[""Narrator""]",,
tt0206193,1,nm0000078,archive_footage,\N,\N,,
tt0209064,1,nm0000078,archive_footage,\N,"[""Self""]",,
tt0210577,4,nm0000078,self,\N,"[""Self""]",,
tt0231014,1,nm0000078,self,\N,"[""Self""]",,
tt0262030,1,nm0000078,self,\N,"[""Self""]",,
tt0272535,10,nm0000078,self,\N,"[""Self""]",,
tt0275438,2,nm0000078,archive_footage,\N,"[""Self""]",,
tt0288112,8,nm0000078,archive_footage,\N,\N,,
tt0292656,7,nm0000078,archive_footage,\N,"[""Self""]",,
tt0292665,5,nm0000078,self,\N,"[""Self""]",,
tt0301138,8,nm0000078,archive_footage,\N,"[""Self""]",,
tt0321381,10,nm0000078,archive_footage,\N,"[""Self""]",,
tt0325452,1,nm0000078,self,\N,"[""Self - Host""]",,
tt0330250,5,nm0000078,self,\N,"[""Self""]",,
tt0337817,2,nm0000078,self,\N,"[""Self - Guest of Honor""]",,
tt0345640,6,nm0000078,self,\N,"[""Self""]",,
tt0347952,10,nm0000078,self,\N,"[""Self""]",,
tt0347961,5,nm0000078,self,\N,"[""Self""]",,
tt0355749,3,nm0000078,archive_footage,\N,"[""Self""]",,
tt0372425,1,nm0000078,actor,\N,"[""Narrator""]",,
tt0384233,4,nm0000078,self,\N,"[""Self""]",,
tt0387853,4,nm0000078,self,\N,"[""Self""]",,
tt0408170,3,nm0000078,archive_footage,\N,"[""Self""]",,
tt0440338,6,nm0000078,actor,\N,"[""Opposing Football Player""]",,
tt0450544,1,nm0000078,archive_footage,\N,"[""John Martin""]",,
tt0476863,2,nm0000078,self,\N,"[""Self""]",,
tt0478641,4,nm0000078,actor,\N,"[""Man on Stool""]",,
tt0478723,2,nm0000078,archive_footage,\N,"[""Self""]",,
tt0519737,1,nm0000078,archive_footage,\N,"[""Self""]",,
tt0526100,10,nm0000078,archive_footage,\N,"[""Self""]",,
tt0541675,5,nm0000078,self,\N,"[""Self""]",,
tt0541702,4,nm0000078,self,\N,"[""Self""]",,
tt0554809,3,nm0000078,archive_footage,\N,"[""Self - Actor""]",,
tt0554810,4,nm0000078,archive_footage,\N,"[""Self - Actor""]",,
tt0554811,4,nm0000078,archive_footage,\N,"[""Self - Actor""]",,
tt0554812,6,nm0000078,archive_footage,\N,"[""Self - Actor""]",,
tt0554813,4,nm0000078,archive_footage,\N,"[""Self - Actor""]",,
tt0556317,9,nm0000078,self,\N,"[""Self - Guest""]",,
tt0556342,8,nm0000078,self,\N,"[""Self - Guest""]",,
tt0559655,1,nm0000078,self,\N,"[""Self - Host""]",,
tt0637454,3,nm0000078,self,\N,"[""Self""]",,
tt0648026,6,nm0000078,self,\N,"[""Self - Guest""]",,
tt0651649,4,nm0000078,self,\N,"[""Self""]",,
tt0727233,4,nm0000078,self,\N,"[""Self - Guest""]",,
tt0727479,7,nm0000078,self,\N,"[""Self - Guest""]",,
tt0727504,4,nm0000078,self,\N,"[""Self - Guest""]",,
tt0746738,7,nm0000078,self,\N,"[""Self - Mystery Guest""]",,
tt0778043,10,nm0000078,actor,\N,"[""Tall Boy""]",,
tt0786082,3,nm0000078,archive_footage,\N,"[""Self""]",,
tt0810150,10,nm0000078,self,\N,"[""Self - Actor""]",,
tt0814835,7,nm0000078,self,\N,"[""Self - Awards Presenter""]",,
tt0836212,2,nm0000078,archive_footage,\N,"[""Self""]",,
tt0900897,10,nm0000078,archive_footage,\N,"[""Self""]",,
tt0962772,1,nm0000078,self,\N,"[""Self""]",,
tt0963795,7,nm0000078,archive_footage,\N,"[""John Bernard Books""]",,
tt0993904,4,nm0000078,self,\N,"[""Self""]",,
tt1024653,6,nm0000078,archive_footage,\N,"[""Self""]",,
tt1024675,5,nm0000078,self,\N,"[""Self""]",,
tt10641392,9,nm0000078,self,\N,"[""Self""]",,
tt10951700,1,nm0000078,archive_footage,\N,"[""Various Characters""]",,
tt11162716,5,nm0000078,self,\N,"[""Self - Guest""]",,
tt1134121,3,nm0000078,self,\N,"[""Self - Guest""]",,
tt1135932,10,nm0000078,archive_footage,\N,"[""Self""]",,
tt11387078,4,nm0000078,archive_footage,\N,"[""Self""]",,
tt11503982,2,nm0000078,self,\N,"[""Self - Guest""]",,
tt1182620,2,nm0000078,self,\N,"[""Self""]",,
tt12372524,2,nm0000078,self,\N,"[""Self""]",,
tt12490094,1,nm0000078,self,\N,"[""Self""]",,
tt12631364,1,nm0000078,archive_footage,\N,"[""Self""]",,
tt12678022,10,nm0000078,archive_footage,\N,"[""Self""]",,
tt12750012,2,nm0000078,self,\N,"[""Self - Host""]",,
tt1276314,6,nm0000078,self,\N,"[""Self - Guest""]",,
tt1299830,1,nm0000078,archive_footage,\N,"[""Self""]",,
tt13201330,3,nm0000078,archive_footage,\N,"[""Self""]",,
tt13204474,2,nm0000078,self,\N,"[""Self""]",,
tt1397123,2,nm0000078,archive_footage,\N,"[""Various""]",,
tt1642852,7,nm0000078,self,\N,"[""Self""]",,
tt1691347,9,nm0000078,self,\N,"[""Self""]",,
tt1803634,2,nm0000078,self,\N,"[""Self - Guest""]",,
tt1873380,2,nm0000078,archive_footage,\N,"[""Self""]",,
tt2075347,3,nm0000078,archive_footage,\N,"[""Self""]",,
tt2145886,2,nm0000078,self,\N,"[""Self""]",,
tt2173174,3,nm0000078,self,\N,"[""Self - Guest""]",,
tt2186558,4,nm0000078,self,\N,"[""Self""]",,
tt2279551,4,nm0000078,self,\N,"[""Self""]",,
tt2337235,2,nm0000078,self,\N,"[""Self - Guest""]",,
tt2420956,4,nm0000078,self,\N,"[""Self - Guest""]",,
tt2756554,2,nm0000078,archive_footage,\N,"[""Self""]",,
tt2950268,2,nm0000078,self,\N,"[""Self""]",,
tt3214514,7,nm0000078,self,\N,"[""Self""]",,
tt3291434,2,nm0000078,self,\N,"[""Self""]",,
tt4005626,3,nm0000078,self,\N,"[""Self""]",,
tt4180310,6,nm0000078,self,\N,"[""Self - Guest""]",,
tt4209018,1,nm0000078,self,\N,"[""Self""]",,
tt4789580,9,nm0000078,archive_footage,\N,"[""Self""]",,
tt4854632,1,nm0000078,archive_footage,\N,"[""Self""]",,
tt5208792,8,nm0000078,self,\N,"[""Self - Guest""]",,
tt5284422,1,nm0000078,self,\N,"[""Self""]",,
tt5317432,1,nm0000078,self,\N,"[""Self""]",,
tt5357970,4,nm0000078,archive_footage,\N,"[""Olsen""]",,
